country,month,sector,sum,min,max,mean
Brazil,12/2019,International Aviation,0.5752185,0.0171337,0.0201767,0.018555435483870966
Brazil,12/2019,Power,8.028439,0.236386,0.309332,0.25898190322580644
Brazil,12/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,12/2020,Domestic Aviation,0.7818842,0.0169284,0.0298693,0.025222070967741938
Brazil,12/2020,Ground Transport,12.817274,0.137238,0.495187,0.4134604516129032
Brazil,12/2020,Industry,10.331997,0.214298,0.398824,0.33329022580645157
Brazil,12/2020,International Aviation,0.23272088,0.00584184,0.00901964,0.007507125161290322
Brazil,12/2020,Power,10.712431,0.222189,0.413509,0.3455622903225807
Brazil,12/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,12/2021,Domestic Aviation,1.027991,0.0243802,0.0376193,0.033161
Brazil,12/2021,Ground Transport,14.223078,0.226039,0.510129,0.45880896774193547
Brazil,12/2021,Industry,9.725302,0.149269,0.455639,0.31371941935483866
Brazil,12/2021,International Aviation,0.35723309,0.00963263,0.0129912,0.011523648064516128
Brazil,12/2021,Power,9.333168,0.14325,0.437267,0.301069935483871
Brazil,12/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,12/2022,Domestic Aviation,1.0321158,0.020407,0.0376983,0.03329405806451612
Brazil,12/2022,Ground Transport,14.183231,0.261103,0.502108,0.45752358064516124
Brazil,12/2022,Industry,9.643296,0.212673,0.387342,0.311074064516129
Brazil,12/2022,International Aviation,0.5038009,0.0139298,0.0181172,0.01625164193548387
Brazil,12/2022,Power,3.353276,0.073953,0.134691,0.1081701935483871
Brazil,12/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
China,01/2019,Domestic Aviation,5.173598,0.134222,0.182719,0.16689025806451613
China,01/2019,Ground Transport,77.91516,2.26058,2.58257,2.513392258064516
China,01/2019,Industry,296.8566,6.76658,10.8076,9.57601935483871
China,01/2019,International Aviation,2.5635814,0.0691911,0.0891733,0.08269617419354838
China,01/2019,Power,422.20209,9.62373,15.371,13.619422258064516
China,01/2019,Residential,115.87931999999999,3.27037,4.34889,3.738042580645161
China,01/2020,Domestic Aviation,5.2990352,0.0928852,0.192114,0.1709366193548387
China,01/2020,Ground Transport,63.423537,0.721866,2.64973,2.045920548387097
China,01/2020,Industry,295.53839,6.92315,11.7182,9.533496451612903
China,01/2020,International Aviation,2.7014888,0.0755618,0.0955992,0.0871448
China,01/2020,Power,416.56638,9.7583,16.517,13.437625161290322
China,01/2020,Residential,112.79384,3.18831,3.94119,3.6385109677419356
China,01/2021,Domestic Aviation,4.5470481,0.0991566,0.181921,0.14667897096774193
China,01/2021,Ground Transport,75.80547,2.35666,2.49966,2.445337741935484
China,01/2021,Industry,355.6451,10.6182,12.3022,11.472422580645162
China,01/2021,International Aviation,0.9829715,0.0244889,0.037292,0.03170875806451613
China,01/2021,Power,505.28159999999997,15.0858,17.4784,16.299406451612903
China,01/2021,Residential,118.57539,3.19891,5.05419,3.8250125806451614
China,01/2022,Domestic Aviation,4.2652066,0.0721836,0.160356,0.13758730967741936
China,01/2022,Ground Transport,76.16035,2.07476,2.57994,2.4567854838709677
China,01/2022,Industry,334.97858,8.8048,11.418,10.80576064516129
China,01/2022,International Aviation,0.9501301,0.0235155,0.0356488,0.030649358064516127
China,01/2022,Power,534.1863,14.0409,18.2081,17.231816129032257
China,01/2022,Residential,115.55566,3.51792,4.04378,3.727601935483871
China,01/2023,Domestic Aviation,4.9002455,0.0867145,0.189115,0.15807243548387095
China,01/2023,Ground Transport,73.7275,1.78626,2.56726,2.3783064516129033
China,01/2023,Industry,350.40701,9.50008,13.1361,11.30345193548387
China,01/2023,International Aviation,0.6335265999999999,0.0148372,0.0267579,0.020436341935483868
China,01/2023,Power,461.12080000000003,12.5017,17.2865,14.874864516129033
